country,farm,lot_number,mill,company,altitude,year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,category_one_defects,color,category_two_defects
Colombia,Finca El Paraiso,CQU2022015,Finca El Paraiso,Coffee Quality Union,1700-1930,2021 / 2022,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,0,green,3
Taiwan,Royal Bean Geisha Estate,"The 2022 Pacific Rim Coffee Summit,T037",Royal Bean Geisha Estate,Taiwan Coffee Laboratory,1200,2021 / 2022,Washed / Wet,8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,0,blue-green,0
Laos,OKLAO coffee farms,"The 2022 Pacific Rim Coffee Summit,LA01",oklao coffee processing plant,Taiwan Coffee Laboratory,1300,2021 / 2022,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,0,yellowish,2
Costa Rica,La Cumbre,CQU2022017,La Montana Tarrazu MIll,Coffee Quality Union,1900,2022,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,0,green,0
Colombia,Finca Santuario,CQU2023002,Finca Santuario,Coffee Quality Union,1850-2100,2022,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,0,yellow-green,2
Guatemala,La Colina,"The 2022 Pacific Rim Coffee Summit,GT02",Dinámica Café,Taiwan Coffee Laboratory,1668,2022,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,0,green,2
Taiwan,野牡丹咖啡莊園 Melastoma Coffee Estate,"The 2022 Pacific Rim Coffee Summit,T034",野牡丹咖啡,Taiwan Coffee Laboratory,1250,2021 / 2022,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,0,green,0
Taiwan,七彩琉璃咖啡莊園 Chi Tsai Liu Li Ecological Farm,"The 2022 Pacific Rim Coffee Summit,T050",七彩琉璃咖啡莊園,Taiwan Coffee Laboratory,1200,2021 / 2022,Natural / Dry,8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,0,yellow green,1
Taiwan,亮軒咖啡莊園 Liang Xuan Coffee Farm,"The 2022 Pacific Rim Coffee Summit,T018",亮軒咖啡莊園,Taiwan Coffee Laboratory,1250,2021 / 2022,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,0,greenish,0
"Tanzania, United Republic Of",MASHIMA AMCOS,CN 4127230034/4189230113,GOURMET COFFEE MILL,DORMAN (T) LIMITED,1400-1700,2022 / 2023,Washed / Wet,8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,greenish,0
