county_name,study_year,development_stage,median_weekly_childcare_cost
Orange County,2008,infant,183.54
Orange County,2008,toddler,171.74
Orange County,2009,infant,186.69
Orange County,2009,toddler,173.58
Orange County,2010,infant,192.6
Orange County,2010,toddler,178.33
Orange County,2011,infant,198.51
Orange County,2011,toddler,183.09
Orange County,2012,infant,204.42
Orange County,2012,toddler,187.84
Orange County,2013,infant,206.21
Orange County,2013,toddler,193.09
Orange County,2014,infant,208
Orange County,2014,toddler,198.34
Orange County,2015,infant,210.28
Orange County,2015,toddler,200.19
Orange County,2016,infant,212.55
Orange County,2016,toddler,202.04
Orange County,2017,infant,231.77
Orange County,2017,toddler,214.64
Orange County,2018,infant,250.98
Orange County,2018,toddler,227.24
San Francisco County,2008,infant,226.97
San Francisco County,2008,toddler,210.2
San Francisco County,2009,infant,250.19
San Francisco County,2009,toddler,218.49
San Francisco County,2010,infant,237.8
San Francisco County,2010,toddler,210.11
San Francisco County,2011,infant,225.41
San Francisco County,2011,toddler,201.73
San Francisco County,2012,infant,213.02
San Francisco County,2012,toddler,193.35
San Francisco County,2013,infant,231.4
San Francisco County,2013,toddler,210.9
San Francisco County,2014,infant,249.77
San Francisco County,2014,toddler,228.45
San Francisco County,2015,infant,273.95
San Francisco County,2015,toddler,253.97
San Francisco County,2016,infant,298.13
San Francisco County,2016,toddler,279.48
San Francisco County,2017,infant,308.18
San Francisco County,2017,toddler,292.29
San Francisco County,2018,infant,318.22
San Francisco County,2018,toddler,305.09
San Luis Obispo County,2008,infant,160.47
San Luis Obispo County,2008,toddler,145.65
San Luis Obispo County,2009,infant,160.83
San Luis Obispo County,2009,toddler,152.12
San Luis Obispo County,2010,infant,178.23
San Luis Obispo County,2010,toddler,165.86
San Luis Obispo County,2011,infant,195.62
San Luis Obispo County,2011,toddler,179.61
San Luis Obispo County,2012,infant,213.02
San Luis Obispo County,2012,toddler,193.35
San Luis Obispo County,2013,infant,202.65
San Luis Obispo County,2013,toddler,185.41
San Luis Obispo County,2014,infant,192.27
San Luis Obispo County,2014,toddler,177.46
San Luis Obispo County,2015,infant,190.14
San Luis Obispo County,2015,toddler,174.8
San Luis Obispo County,2016,infant,188
San Luis Obispo County,2016,toddler,172.13
San Luis Obispo County,2017,infant,195.88
San Luis Obispo County,2017,toddler,179
San Luis Obispo County,2018,infant,203.75
San Luis Obispo County,2018,toddler,185.86
